Price,Bed,Bath,Acre_Lot,House_Size,Garage,Swimming_Pool,House_Age,Safety_Index
699043,5,6,0.3,3038,3,1,6,98
696853,4,4,0.45,3134,3,1,9,94
684963,5,5,0.53,3080,3,1,5,93
677537,5,6,0.55,3030,3,1,7,99
677104,4,5,0.38,3130,3,1,6,99
674414,5,5,0.55,2879,3,1,15,95
666059,5,6,0.35,2446,3,1,7,94
662388,5,6,0.47,2979,3,1,8,87
656911,5,6,0.31,2842,3,1,6,80
654489,4,4,0.21,2906,3,1,6,94
653493,4,5,0.4,2998,3,1,15,94
653065,4,5,0.41,3138,3,1,6,96
652122,4,5,0.59,3148,3,1,11,95
651501,5,6,0.42,2846,3,1,5,97
650980,3,4,0.54,2965,3,1,10,99
649251,2,3,0.54,3181,3,1,9,92
647655,5,5,0.41,2736,3,1,6,94
644644,5,5,0.57,3008,3,1,5,95
637827,5,6,0.33,2520,3,1,16,91
635951,5,5,0.44,3134,3,1,13,96
634285,2,2,0.6,3199,3,1,6,85
633730,5,5,0.41,2203,3,1,7,96
633233,5,6,0.34,2884,3,1,12,84
632417,4,5,0.34,3079,3,1,6,98
632233,5,6,0.57,3104,3,1,18,94
629559,5,5,0.59,2712,3,1,8,90
629420,5,6,0.27,2699,3,1,12,91
628441,3,4,0.24,2421,3,1,7,97
626013,5,6,0.31,2696,3,1,19,98
622837,3,3,0.4,3181,3,1,7,95
619948,5,5,0.46,2214,3,1,5,99
619717,3,3,0.35,3060,3,0,16,88
618979,5,6,0.56,2778,3,1,18,81
616992,5,6,0.24,3042,3,1,11,81
616076,4,5,0.55,2994,3,1,7,76
616042,2,3,0.46,2875,3,1,5,86
613788,5,5,0.26,2555,3,1,12,96
613518,3,4,0.5,2896,3,1,17,78
609691,4,5,0.57,2401,3,0,5,86
609384,5,6,0.53,2308,3,0,14,86
607511,5,5,0.4,3073,3,1,16,81
607487,4,4,0.25,3044,3,0,8,83
607381,4,4,0.56,3068,3,0,10,98
604417,5,6,0.43,2984,3,0,18,82
603109,5,6,0.21,2532,3,1,11,78
602212,4,4,0.27,3055,3,0,10,74
601412,2,3,0.52,2489,3,1,7,93
601319,4,5,0.43,2345,3,0,12,90
600196,5,6,0.48,2715,3,1,17,74
600081,5,6,0.44,2710,3,1,15,84
600079,2,2,0.35,2528,3,1,15,98
599197,5,6,0.33,2152,2,0,14,79
597580,5,6,0.41,2248,1,0,6,96
596838,2,3,0.59,3089,2,1,14,82
596653,5,5,0.56,2147,1,1,9,91
596517,5,6,0.59,2581,1,0,9,97
596153,3,4,0.6,2645,1,1,12,93
593024,5,6,0.4,2907,2,1,9,83
592143,5,5,0.3,2835,2,1,9,76
591225,3,3,0.32,2965,2,0,9,71
589956,5,5,0.5,2859,2,1,19,79
589693,3,4,0.47,3188,2,0,16,93
588807,2,2,0.3,2370,2,0,9,87
588455,5,6,0.23,3089,2,0,8,97
587971,3,3,0.31,2756,1,1,8,84
587723,5,5,0.47,2357,1,1,14,75
586786,5,5,0.3,2372,2,0,6,90
585994,2,2,0.21,3186,2,1,5,91
585762,3,4,0.6,2985,1,1,18,90
585632,2,3,0.55,3120,1,1,13,99
584778,3,3,0.58,3076,2,1,16,81
583911,4,4,0.23,2289,2,1,10,82
583724,4,4,0.29,2201,2,1,5,90
583116,2,2,0.38,2979,2,0,9,99
582737,4,4,0.59,2489,1,1,12,90
582572,5,5,0.57,2866,2,1,14,78
582444,4,4,0.36,2959,2,0,14,73
581726,5,5,0.48,2708,1,0,6,79
581278,4,4,0.36,2835,1,0,7,82
581073,5,6,0.3,3031,2,1,18,75
580002,4,4,0.44,2844,1,0,17,100
579384,4,5,0.3,2140,1,1,5,90
578659,4,4,0.3,2839,2,0,15,85
578381,5,5,0.33,2132,1,1,6,90
578237,4,4,0.36,2571,2,0,14,83
577977,2,2,0.45,2754,1,1,8,96
574820,5,6,0.33,2355,2,0,16,83
574621,5,6,0.38,2567,1,1,16,71
574613,5,6,0.26,2571,2,0,7,96
574267,5,6,0.37,2524,2,1,5,75
573535,5,5,0.53,2543,1,1,14,97
572754,4,4,0.31,2975,1,1,10,92
571616,2,3,0.41,2284,2,1,10,92
571560,2,2,0.32,2556,2,1,10,100
570502,3,3,0.2,2665,2,0,10,87
569770,2,3,0.31,3069,2,0,11,100
569215,2,2,0.37,2897,1,1,10,97
568732,3,4,0.58,2813,1,0,14,88
568601,5,6,0.48,2466,2,1,17,90
567258,4,5,0.56,3050,1,1,11,95
565865,3,3,0.23,3151,1,0,16,100
564049,5,6,0.31,2554,2,1,9,87
562994,5,6,0.23,2144,2,1,16,86
562944,3,3,0.4,2511,2,1,12,89
562143,5,6,0.36,2733,1,0,15,83
562020,3,4,0.25,2665,1,1,6,81
561845,2,3,0.54,3022,1,1,6,93
561290,2,3,0.47,3022,2,0,15,82
561251,3,3,0.54,3035,1,0,18,78
560586,4,4,0.27,2031,2,1,13,96
560368,3,4,0.45,3081,1,0,13,83
559670,5,6,0.45,2658,1,0,14,70
559572,4,5,0.45,2951,2,1,19,95
559458,2,2,0.49,2589,2,0,16,89
558357,3,4,0.59,2805,1,0,11,76
558348,4,5,0.21,2288,2,1,5,96
558239,2,3,0.24,2798,2,0,6,84
558087,2,2,0.3,2365,2,1,7,71
557354,2,2,0.5,2281,2,1,11,74
556760,3,4,0.48,2035,1,0,12,86
556499,5,6,0.23,2535,2,1,12,79
556499,5,6,0.37,2345,1,0,13,95
555787,2,2,0.2,3068,2,1,11,100
555631,5,5,0.41,1959,2,1,18,77
555554,3,3,0.45,3094,2,0,12,70
554577,4,5,0.37,3009,2,1,20,82
554508,2,2,0.27,3121,2,0,16,82
554498,4,5,0.27,3005,2,0,13,84
554378,2,3,0.57,2995,2,0,16,76
554133,5,5,0.36,2182,2,1,11,75
553409,2,3,0.58,2564,2,1,10,72
553375,5,6,0.59,2523,2,1,19,94
553158,5,5,0.38,2340,2,1,11,86
552783,2,2,0.55,2566,1,0,16,90
552714,3,4,0.33,2394,1,0,6,93
552255,4,4,0.36,1976,2,1,11,88
551390,3,3,0.26,2761,2,0,9,85
551352,5,5,0.3,2835,2,0,20,83
551214,2,3,0.37,3013,2,1,19,98
551042,2,2,0.35,2169,2,0,8,93
550821,4,4,0.36,1973,2,1,10,80
550718,4,4,0.29,1855,1,0,6,81
550311,4,5,0.56,2674,1,0,16,87
548580,2,3,0.55,2838,2,0,18,80
548209,3,3,0.25,3013,1,1,16,96
547784,3,4,0.3,2523,2,1,12,99
547697,3,3,0.57,2668,1,1,10,80
547397,4,5,0.45,2426,2,1,12,98
547194,5,6,0.57,1954,1,1,10,72
546009,2,3,0.59,3064,2,0,18,83
545444,5,6,0.29,1666,2,1,7,86
545129,5,6,0.48,2004,2,1,8,89
545127,5,6,0.4,2356,2,1,18,75
544864,3,3,0.3,3014,1,1,9,81
544691,4,5,0.35,2761,2,0,16,94
544610,3,4,0.35,2822,1,0,16,79
544210,4,5,0.55,2530,1,1,16,82
543820,4,5,0.55,2093,2,0,12,96
543526,4,4,0.48,1701,2,1,15,89
543255,4,5,0.51,2330,1,1,18,100
542162,5,5,0.36,2505,2,0,17,88
541650,3,3,0.35,2392,1,1,16,76
540800,3,3,0.41,3187,2,0,8,71
540749,3,3,0.24,2256,2,1,11,76
540267,3,3,0.59,2991,2,0,17,78
539967,4,5,0.24,2629,1,0,19,100
539908,3,4,0.34,2431,1,1,20,100
539335,5,6,0.31,2460,2,0,16,96
539288,4,4,0.22,2629,2,1,13,88
539169,4,5,0.59,1534,2,1,13,84
538993,5,6,0.46,2360,2,0,6,84
538540,4,5,0.32,1755,1,1,11,80
538051,5,6,0.29,2623,2,1,20,80
537626,2,2,0.21,2934,1,1,11,74
537498,4,4,0.38,1739,1,1,5,86
537096,2,2,0.35,2032,1,1,13,92
536915,2,3,0.51,2835,2,1,12,85
536039,3,3,0.51,2707,1,0,14,75
535850,5,5,0.5,1555,2,0,9,95
535702,4,4,0.22,1762,2,1,8,80
535700,2,3,0.31,2602,2,0,12,81
535500,3,3,0.23,1939,1,1,7,88
534196,2,2,0.58,2566,1,1,18,96
533651,3,3,0.5,2918,2,0,18,76
533603,5,5,0.55,1831,2,0,12,77
533523,2,3,0.59,1794,2,1,5,91
533457,3,4,0.21,2399,1,1,8,79
533235,3,4,0.49,1920,1,0,15,88
532230,5,6,0.59,2697,1,0,19,81
531773,2,3,0.49,2277,2,1,13,97
531660,4,4,0.24,2348,1,1,14,83
531372,5,6,0.47,2879,2,0,19,91
531343,3,4,0.39,3024,1,1,18,74
531047,2,3,0.54,2329,2,1,18,79
530686,4,5,0.57,2042,1,1,7,79
530631,4,4,0.48,1993,1,0,7,97
530577,5,5,0.59,1581,2,1,9,72
530288,5,6,0.39,1560,2,1,8,76
529877,2,2,0.38,2652,2,0,18,85
529446,2,3,0.46,1770,1,1,10,96
529262,4,5,0.34,1511,1,1,8,85
528785,5,6,0.49,2725,1,0,19,97
528094,4,4,0.47,2077,2,0,17,95
527888,4,5,0.38,2287,1,0,12,92
527844,4,5,0.45,1565,1,1,5,86
525760,4,4,0.56,2188,1,0,16,89
524964,3,3,0.2,1673,2,1,5,79
524640,4,5,0.42,2068,1,1,16,86
524556,5,6,0.44,1741,2,0,9,92
524345,5,5,0.36,1772,2,1,14,87
524313,4,5,0.53,2172,1,1,16,74
522334,5,6,0.36,1900,2,0,20,99
521859,2,2,0.28,2893,2,1,8,74
521768,3,4,0.26,1554,2,1,9,79
521582,4,5,0.38,2609,1,0,15,96
521246,2,3,0.47,3170,1,0,20,78
521070,2,3,0.54,2394,2,0,12,90
520975,4,5,0.57,2457,1,0,20,95
520454,4,4,0.33,2245,1,1,10,87
519810,3,4,0.57,1428,2,1,10,84
519224,2,3,0.59,2739,2,1,11,82
519122,2,2,0.36,2648,1,1,13,100
518283,4,4,0.25,2186,1,0,13,79
517184,2,3,0.51,2197,2,0,5,92
516919,3,4,0.24,2424,1,1,10,82
516860,2,2,0.33,2555,1,0,9,87
516697,4,4,0.47,1771,1,1,13,77
516464,4,5,0.44,1657,2,1,12,99
516424,3,3,0.4,1736,1,1,9,100
515946,5,5,0.26,1856,2,1,16,78
515350,2,2,0.3,2719,1,1,6,81
515177,3,3,0.38,2843,1,1,17,88
514314,4,5,0.56,1806,2,0,15,73
512452,3,4,0.32,2416,2,0,16,81
511702,2,3,0.49,1572,1,1,11,86
511556,5,6,0.38,2806,1,1,20,84
511428,3,3,0.41,2997,1,0,18,75
511384,4,5,0.42,2239,2,0,15,77
511022,2,3,0.6,2856,1,0,14,88
510821,3,3,0.53,2098,1,0,13,78
510675,2,3,0.48,2706,1,1,19,90
510500,2,3,0.46,1774,1,1,7,88
510419,3,3,0.46,1500,2,1,10,78
509797,2,3,0.23,2197,2,1,9,82
509674,3,3,0.35,2649,1,0,17,92
508696,4,4,0.48,1680,2,0,15,87
507982,5,6,0.29,2404,1,1,7,88
507907,3,4,0.37,1778,1,1,7,91
507169,5,5,0.29,1543,1,1,8,79
507158,5,5,0.36,1643,2,0,16,98
506530,3,3,0.31,2788,1,0,14,81
506164,3,3,0.3,2464,2,1,19,80
506122,3,3,0.55,2049,1,1,9,85
505996,3,4,0.37,2600,1,0,18,91
505277,5,5,0.35,1980,1,1,15,71
504511,5,6,0.32,1450,1,1,12,82
503360,5,6,0.41,1770,2,0,8,100
502778,5,6,0.28,1704,2,1,10,81
501218,5,5,0.28,1641,1,1,15,100
500176,2,2,0.37,2900,1,0,13,93
500123,5,6,0.22,1835,1,0,6,90
499867,3,4,0.3,1898,2,0,11,84
499530,4,4,0.48,1941,2,0,13,86
499133,3,3,0.39,1750,1,1,6,84
497782,5,5,0.21,2301,1,1,19,88
497772,2,2,0.32,2892,1,0,16,79
497596,2,2,0.26,2137,1,1,16,97
497377,5,6,0.24,2342,1,0,20,82
497057,5,5,0.3,1712,1,1,13,80
496796,4,5,0.42,1866,1,1,19,76
496405,3,3,0.4,2106,2,0,15,90
496212,3,3,0.27,2620,2,1,12,73
495336,2,2,0.31,1828,1,1,7,100
494718,5,5,0.36,1473,2,1,10,78
494717,2,3,0.22,1949,2,1,17,86
494307,2,2,0.34,2384,1,1,9,97
493792,2,2,0.29,2957,1,0,16,92
493303,5,6,0.48,1586,2,0,13,75
492625,3,3,0.39,1913,2,0,17,79
492531,3,4,0.34,1584,2,1,5,82
492209,5,6,0.52,2480,1,0,19,80
492037,3,4,0.54,1775,1,1,8,70
491861,3,3,0.25,1924,2,1,19,71
491194,5,5,0.3,2619,1,0,15,89
490864,3,3,0.26,2137,2,0,14,96
490614,2,2,0.35,1884,2,0,13,83
489262,5,5,0.59,1737,2,1,20,75
489238,3,3,0.22,1647,2,1,14,86
489165,3,3,0.21,1848,2,0,6,76
488896,3,3,0.56,1899,1,0,6,76
488895,5,5,0.25,1529,2,0,12,84
487461,2,3,0.53,2339,1,1,16,100
486522,2,3,0.23,1597,2,0,16,92
486033,3,3,0.24,1643,1,1,7,98
485737,4,5,0.44,1424,1,0,13,82
485541,3,3,0.36,1468,1,0,13,88
484237,2,3,0.34,2325,1,0,15,100
483859,4,5,0.34,1754,1,1,17,94
483643,2,2,0.32,1942,1,1,5,89
483478,2,3,0.55,2134,1,0,10,86
481856,2,2,0.5,2079,2,0,16,80
481062,4,4,0.22,1800,2,0,17,85
478949,4,4,0.55,1884,1,1,20,88
478065,2,2,0.45,2740,2,1,14,79
476942,3,4,0.26,2277,1,1,14,81
476933,3,4,0.45,2524,1,0,13,75
476656,3,4,0.32,1708,1,0,10,85
475852,4,4,0.23,1438,2,1,13,73
475770,4,4,0.26,2159,2,0,16,95
474955,2,3,0.54,2017,1,0,19,96
473578,3,3,0.58,1909,1,1,10,96
473426,2,2,0.41,2235,2,0,8,75
473417,4,4,0.21,1864,1,1,18,73
473021,3,3,0.47,2173,1,1,15,71
472907,5,6,0.53,2197,1,0,19,83
471942,5,5,0.24,1820,1,0,16,81
471830,5,5,0.58,1612,2,1,18,89
469999,3,3,0.27,2571,2,0,16,77
469425,5,5,0.6,1432,2,0,13,74
469354,5,5,0.22,1471,2,1,12,83
468828,3,4,0.54,1989,2,0,11,99
468058,4,4,0.4,1481,1,0,20,100
467898,2,3,0.44,1608,2,1,18,78
466933,5,5,0.47,1849,1,0,17,81
466700,3,3,0.25,1777,2,1,13,84
465974,2,2,0.58,1773,2,1,16,100
465854,4,4,0.5,1894,2,1,20,82
465690,4,4,0.24,1789,1,1,20,91
464932,2,2,0.49,2275,2,0,20,95
464543,4,4,0.35,1639,2,0,15,76
464412,5,6,0.38,1581,1,0,9,75
463963,2,2,0.32,2475,1,1,10,100
463676,2,3,0.3,1948,2,1,15,77
463554,3,3,0.23,2031,2,1,18,87
463317,3,3,0.37,2197,1,1,15,86
463122,2,3,0.41,1603,1,0,9,97
463076,5,6,0.44,1560,1,1,17,95
462999,3,4,0.58,1866,2,0,16,82
461223,2,3,0.47,1408,2,1,16,78
460677,2,2,0.35,2263,1,1,20,81
460194,2,2,0.29,2533,1,0,10,72
459589,3,3,0.54,1610,2,0,11,90
459008,2,3,0.41,1774,2,1,12,77
457936,3,3,0.44,2137,1,0,16,71
457891,3,4,0.6,2006,1,1,15,74
457749,3,4,0.57,1658,1,0,14,85
457034,5,5,0.36,1496,2,0,11,79
456792,4,5,0.24,1631,2,1,15,83
455394,2,2,0.51,2262,1,1,17,84
455153,3,3,0.24,2616,2,1,15,73
454437,3,3,0.54,1837,1,0,12,89
451589,5,5,0.31,1973,2,0,20,77
451436,4,5,0.42,1758,1,0,11,72
449450,3,3,0.33,1578,2,1,15,73
448597,4,4,0.43,1673,2,0,11,94
448107,3,4,0.57,1435,2,1,8,76
447465,5,6,0.5,1445,1,0,14,93
447028,4,4,0.35,1503,1,1,18,99
446122,3,4,0.37,1512,2,0,19,92
444309,3,3,0.38,1688,1,1,13,87
443748,2,2,0.46,1995,2,1,20,72
443606,2,3,0.25,1570,1,1,5,76
443494,2,3,0.38,1599,1,0,14,98
442867,2,2,0.34,1618,1,0,18,87
442259,4,5,0.23,1460,1,0,18,93
441420,4,5,0.38,1435,2,0,13,95
439985,4,5,0.25,1845,1,0,17,88
439957,5,6,0.33,1767,1,0,16,81
439125,2,2,0.36,1801,2,1,11,82
438942,2,2,0.58,1933,2,1,20,80
438642,3,4,0.59,1688,1,0,19,77
437479,2,3,0.41,1832,1,1,18,84
436156,3,3,0.6,1693,2,0,10,70
430184,2,2,0.48,1867,1,0,16,72
428279,5,5,0.42,1514,1,0,20,86
427601,5,5,0.21,1531,1,0,11,89
427242,2,3,0.41,1611,1,0,18,89
425392,2,3,0.59,1516,2,1,16,76
422891,3,4,0.2,1413,2,0,13,76
420993,5,6,0.24,1456,1,1,20,89
420142,2,2,0.4,1460,1,0,11,81
416972,3,4,0.36,1736,2,0,13,85
416621,3,4,0.2,1740,1,1,20,92
415588,4,4,0.23,1665,1,0,16,90
411943,3,3,0.35,2125,1,0,15,74
411367,4,4,0.28,1465,2,0,20,77
410129,2,3,0.59,1801,1,0,20,75
407652,2,3,0.22,1952,2,0,19,95
406147,2,2,0.32,1475,1,1,17,71
403973,3,3,0.51,1719,2,0,17,83
396850,4,5,0.25,1416,1,0,18,83
396622,2,3,0.3,1864,1,1,19,86
394717,3,4,0.3,1429,1,0,19,83
385095,4,4,0.42,1598,1,0,17,76
380290,3,3,0.26,1451,2,0,11,71
366878,2,2,0.34,1677,2,0,18,79
360243,2,3,0.46,1481,2,1,17,81
356514,2,3,0.25,1626,1,0,11,74
353279,2,2,0.23,1789,1,0,16,83
343226,3,3,0.24,1547,1,0,17,71